carat,depth,table,x,price,cut_encoded,color_encoded,clarity_encoded
0.3,62.4,58.0,4.31,6.353,3.0,5.0,0.0
1.01,62.7,56.0,6.42,9.183,4.0,6.0,5.0
0.72,61.8,59.0,5.71,7.983,4.0,3.0,3.0
1.08,63.2,57.0,6.54,8.371,2.0,4.0,0.0
0.36,62.3,59.0,4.5,6.588,3.0,4.0,4.0
0.53,61.4,57.0,5.18,7.496,4.0,3.0,4.0
1.74,62.1,59.0,7.69,8.979,3.0,2.0,2.0
0.33,60.0,56.0,4.53,6.877,4.0,6.0,5.0
0.32,62.9,56.0,4.36,6.554,2.0,6.0,3.0
0.27,61.8,57.0,4.16,6.683,4.0,6.0,5.0
0.63,61.1,56.0,5.52,7.484,4.0,5.0,2.0
0.31,61.4,56.0,4.34,6.353,4.0,4.0,3.0
0.53,62.0,55.0,5.2,7.554,4.0,3.0,4.0
0.7,62.2,57.0,5.67,7.671,2.0,2.0,4.0
0.74,62.4,58.0,5.71,7.794,2.0,2.0,2.0
1.29,62.8,58.0,6.89,8.727,2.0,1.0,3.0
0.71,62.0,55.0,5.71,8.087,4.0,5.0,2.0
0.32,62.3,57.0,4.38,6.23,4.0,4.0,2.0
0.52,61.6,56.0,5.18,7.451,4.0,4.0,4.0
0.42,59.3,59.0,4.9,7.072,3.0,4.0,6.0
1.06,61.7,62.0,6.54,8.445,3.0,6.0,0.0
0.58,62.3,53.0,5.38,7.365,4.0,1.0,6.0
1.5,61.74637745643308,63.0,7.52,8.976,0.0,1.0,2.0
0.3,62.0,55.0,4.33,6.76,4.0,4.0,7.0
1.0,61.74637745643308,56.0,6.28,8.671,0.0,3.0,4.0
0.51,61.4,56.0,5.15,7.911,4.0,3.0,6.0
1.2,61.74637745643308,59.0,7.04,8.961,3.0,4.0,3.0
0.41,62.3,55.0,4.78,7.266,4.0,4.0,7.0
0.42,61.6,57.0,4.84,7.074,4.0,6.0,4.0
1.12,61.9,58.0,6.74,8.456,3.0,2.0,0.0
1.22,62.1,59.0,6.86,8.606,3.0,1.0,2.0
0.5,60.9,61.0,5.06,7.033,2.0,2.0,2.0
0.31,62.4,55.0,4.34,6.385,3.0,4.0,2.0
0.56,61.5,57.0,5.33,7.633,4.0,5.0,3.0
0.32,61.9,54.0,4.42,6.04,4.0,2.0,0.0
0.72,61.7,56.0,5.77,7.525,4.0,0.0,2.0
1.08,63.4,57.0,6.54,8.573,2.0,2.0,2.0
0.31,63.1,57.0,4.3,6.347,1.0,5.0,2.0
0.33,61.9,55.0,4.44,6.852,4.0,4.0,7.0
0.7,62.0,56.0,5.71,7.631,4.0,6.0,0.0
0.7975755778024965,61.1,57.0,8.82,9.626,3.0,2.0,0.0
1.0,61.74637745643308,56.0,6.24,8.361,1.0,2.0,2.0
0.37,61.3,56.0,4.64,7.025,4.0,5.0,3.0
0.3,61.4,56.0,4.33,6.797,4.0,6.0,6.0
1.7,61.9,59.0,7.59,9.09,2.0,0.0,2.0
0.32,63.0,55.0,4.39,6.356,4.0,1.0,3.0
0.54,62.7,60.0,5.14,7.866,3.0,6.0,4.0
0.34,60.6,57.0,4.52,6.579,4.0,4.0,4.0
1.22,61.9,55.0,6.82,8.971,4.0,2.0,2.0
0.7,61.2,56.0,5.68,8.179,2.0,5.0,4.0
1.22,61.8,59.0,6.86,8.837,3.0,3.0,2.0
1.61,59.0,60.0,7.68,9.412,3.0,5.0,2.0
0.71,62.5,58.0,5.69,8.115,2.0,6.0,3.0
0.32,62.4,58.0,4.42,5.961,2.0,1.0,2.0
0.54,61.5,55.0,5.24,7.483,4.0,6.0,2.0
1.0,62.5,56.0,6.38,8.094,4.0,1.0,0.0
0.3,61.8,60.0,4.32,6.654,3.0,4.0,4.0
1.0,63.4,55.0,6.3,8.302,2.0,3.0,0.0
0.38,62.7,55.0,4.61,7.268,4.0,6.0,7.0
0.42,62.1,56.0,4.8,6.931,4.0,6.0,3.0
0.74,61.7,56.0,5.84,7.93,4.0,6.0,2.0
0.7,61.9,57.0,5.66,7.71,4.0,3.0,2.0
0.61,59.8,62.0,5.48,7.261,1.0,5.0,0.0
1.21,62.0,56.0,6.84,8.384,4.0,3.0,1.0
1.28,62.2,56.0,6.96,8.936,4.0,4.0,2.0
1.26,63.3,58.0,6.88,8.976,2.0,4.0,2.0
0.4,62.5,60.0,4.72,7.09,3.0,5.0,4.0
0.3,62.7,59.0,4.29,6.528,3.0,2.0,6.0
0.3,61.3,57.0,4.34,6.564,4.0,1.0,6.0
0.81,62.1,55.0,5.94,8.039,4.0,6.0,0.0
0.32,62.7,55.0,4.36,6.554,4.0,6.0,3.0
0.51,62.4,57.0,5.1,7.432,4.0,4.0,4.0
0.76,61.7,56.0,5.84,8.384,4.0,5.0,4.0
0.44,61.0,60.0,4.93,6.898,3.0,4.0,2.0
0.72,61.4,56.0,5.8,8.195,4.0,5.0,4.0
1.03,62.8,56.0,6.46,8.469,4.0,5.0,0.0
0.6,61.8,60.0,5.38,7.406,3.0,4.0,2.0
0.7,63.0,59.0,5.64,7.73,2.0,4.0,2.0
1.1,61.4,60.0,6.59,9.133,2.0,4.0,6.0
0.3,61.3,55.0,4.36,6.594,4.0,3.0,4.0
0.78,63.9,57.45169447534297,5.82,7.777,1.0,4.0,2.0
1.13,59.3,59.0,6.87,9.09,3.0,4.0,6.0
0.56,62.3,57.0,5.24,7.364,4.0,5.0,2.0
0.77,62.6,55.0,5.9,7.834,3.0,1.0,4.0
0.51,62.9,55.0,5.12,7.072,3.0,1.0,3.0
0.7975755778024965,61.74637745643308,57.45169447534297,8.51,9.357,1.0,0.0,3.0
0.36,62.8,57.0,4.55,6.959,4.0,4.0,6.0
1.26,61.1,57.0,7.0,9.568,4.0,6.0,5.0
0.33,61.7,59.0,4.45,6.918,3.0,2.0,7.0
0.51,63.5,55.0,5.07,6.974,2.0,1.0,2.0
0.31,62.9,59.0,4.32,6.687,3.0,3.0,3.0
0.71,60.7,60.0,5.73,7.726,2.0,2.0,2.0
0.35,61.1,59.0,4.56,6.669,3.0,6.0,2.0
0.31,61.4,57.0,4.37,6.649,4.0,4.0,6.0
0.3,61.6,60.0,4.3,6.41,3.0,1.0,4.0
0.54,61.8,56.0,5.25,7.621,4.0,5.0,3.0
0.38,61.4,55.0,4.66,6.515,4.0,1.0,3.0
1.08,61.0,58.0,6.64,9.231,2.0,3.0,6.0
1.28,61.7,55.0,6.97,9.078,4.0,2.0,6.0
1.08,61.8,56.0,6.58,8.585,4.0,4.0,2.0
1.5,62.8,59.0,7.29,9.131,3.0,0.0,4.0
0.39,61.4,59.0,4.69,6.962,2.0,5.0,5.0
1.01,62.6,58.0,6.34,8.382,2.0,2.0,2.0
0.9,62.2,58.0,6.18,8.436,3.0,5.0,2.0
1.84,59.7,58.0,8.01,9.54,3.0,2.0,2.0
0.79,59.1,57.0,6.08,7.696,3.0,0.0,2.0
1.61,60.9,62.0,7.46,9.287,1.0,6.0,0.0
1.12,60.9,57.0,6.79,9.119,3.0,4.0,7.0
0.31,61.2,56.0,4.4,6.574,4.0,3.0,5.0
0.31,61.0,56.0,4.35,6.465,4.0,4.0,4.0
1.22,62.9,58.0,6.8,8.639,3.0,1.0,3.0
0.7,62.9,61.0,5.6,7.86,1.0,3.0,3.0
